name,environmental,social,governance,composite
S. Agostino di Fossa Cavallina,4.6,65,13.2,28.3
S. Agostino di Strada Maggiore,1.1,65,10.8,26.4
S. Andrea di Pontemaggiore,10.3,65,17.2,31.5
S. Caterina di Strada San Donato,9.9,65,16.9,31.3
S. Maria Maddalena delle Repentite,25.0,65,27.5,39.8
S. Elena,15.1,65,20.6,34.2
S. Maria del Monte della Guardia (Augustinian),34.6,65,34.2,45.1
Gesù e Maria convent (Bologna),35.2,65,34.6,45.4
S. Cristina di Stifonte,8.3,65,15.8,30.4
S. Nicolo di Carpineta,4.7,65,13.3,28.4
S. Croce di Borgo Galliera,2.4,65,11.7,27.1
S. Colombano,13.1,65,19.2,33.1
S. Cristina della Fondazza,31.2,65,31.8,43.2
S. Maria Maddalena di Valdipietra (Benedictine),30.6,65,31.4,42.9
S. Maria della Misericordia,10.5,65,17.3,31.6
S. Maria del Cestello,12.5,65,18.7,32.7
S. Guglielmo,30.6,65,31.4,42.9
SS. Leonardo e Orsola,14.2,65,19.9,33.7
"Corpus Domini, Bologna",19.6,75,23.7,40.2
Monastero delle Clarisse Eremite della Santissima Trinità e della Catena,0.7,75,10.5,29.6
S. Francesco ordinis Sanctae Clarae,15.7,75,21.0,38.0
S. Maria Maddalena delle Convertite,10.8,65,17.5,31.8
S. Maria Maddalena di Via Galliera,13.0,65,19.1,33.0
S. Maria Nuova,30.9,65,31.6,43.0
S. Maria delle Pugliole,16.2,75,21.3,38.3
Domus fratrum de poenitentia,1.3,45,10.9,19.5
S. Ambrogio,11.2,45,17.8,25.0
S. Prospero,15.4,45,20.8,27.4
S. Maria a Monte Cellesi (Benedictine),41.9,65,39.3,49.2
