source,target,order,distance_km,shared_period
Holy Cross Coptic Orthodox Monastery,St. George (Dair al-Hadid) Coptic Orthodox Monastery,Coptic Orthodox ,106.3,1243-2025
Holy Cross Coptic Orthodox Monastery,St. Pachomius the Martyr Coptic Orthodox Monastery,Coptic Orthodox ,106.3,1243-2025
Holy Cross Coptic Orthodox Monastery,St. Pisada Coptic Orthodox Monastery,Coptic Orthodox ,106.3,1243-2025
Holy Cross Coptic Orthodox Monastery,St. Thomas the Hermit Coptic Orthodox Monastery,Coptic Orthodox ,106.3,1243-2025
Holy Cross Coptic Orthodox Monastery,Monastery of the Martyrs of Akhmim,Coptic Orthodox ,106.3,1243-2025
Holy Cross Coptic Orthodox Monastery,White Monastery,Coptic Orthodox ,111.1,None
Holy Cross Coptic Orthodox Monastery,St. Pishay Coptic Orthodox Monastery,Coptic Orthodox ,111.1,1243-2025
Holy Cross Coptic Orthodox Monastery,Red Monastery,Coptic Orthodox ,111.1,1243-2025
Holy Cross Coptic Orthodox Monastery,Atripe,Coptic Orthodox ,111.1,1243-2025
Holy Cross Coptic Orthodox Monastery,St. Michael Coptic Orthodox Monastery,Coptic Orthodox ,109.7,1243-2025
St. Pisentius Coptic Orthodox Monastery,St. Moses the Black Coptic Orthodox Monastery,Coptic Orthodox ,52.8,550-1000
St. Pisentius Coptic Orthodox Monastery,St. Pachomius Coptic Orthodox Monastery,Coptic Orthodox ,52.8,550-2025
St. Pisentius Coptic Orthodox Monastery,St. Theodore the Warrior Coptic Orthodox Monastery,Coptic Orthodox ,52.8,550-2025
St. Pisentius Coptic Orthodox Monastery,St. Wannas Coptic Orthodox Monastery,Coptic Orthodox ,52.8,550-2025
St. Pisentius Coptic Orthodox Monastery,St. Matthew the Potter Coptic Orthodox Monastery,Coptic Orthodox ,52.8,704-2025
St. Pisentius Coptic Orthodox Monastery,Deir El Shohada,Coptic Orthodox ,98.4,550-2025
St. Pisentius Coptic Orthodox Monastery,St. Badaba Coptic Orthodox Monastery,Coptic Orthodox ,48.4,550-2025
St. Pisentius Coptic Orthodox Monastery,St. George (Dair al-Hadid) Coptic Orthodox Monastery,Coptic Orthodox ,106.3,550-2025
St. Pisentius Coptic Orthodox Monastery,St. Pachomius the Martyr Coptic Orthodox Monastery,Coptic Orthodox ,106.3,550-2025
St. Pisentius Coptic Orthodox Monastery,St. Pisada Coptic Orthodox Monastery,Coptic Orthodox ,106.3,550-2025
St. Pisentius Coptic Orthodox Monastery,St. Thomas the Hermit Coptic Orthodox Monastery,Coptic Orthodox ,106.3,550-2025
St. Pisentius Coptic Orthodox Monastery,Monastery of the Martyrs of Akhmim,Coptic Orthodox ,106.3,550-2025
St. Pisentius Coptic Orthodox Monastery,White Monastery,Coptic Orthodox ,111.1,550-800
